,example_index,split
464,464,train
465,465,train
466,466,train
467,467,train
468,468,train
469,469,train
470,470,train
471,471,train
472,472,train
473,473,train
474,474,test
475,475,train
476,476,train
477,477,train
478,478,train
479,479,train
480,480,train
481,481,train
482,482,train
483,483,train
484,484,train
485,485,train
486,486,train
487,487,train
488,488,train
489,489,train
490,490,test
491,491,test
492,492,train
493,493,train
494,494,train
495,495,train
496,496,train
497,497,valid
498,498,valid
499,499,train
500,500,train
501,501,test
502,502,train
503,503,train
504,504,train
505,505,train
506,506,train
507,507,train
508,508,train
509,509,train
510,510,test
511,511,train
512,512,valid
513,513,train
514,514,valid
515,515,train
516,516,train
517,517,train
518,518,train
519,519,train
520,520,train
521,521,valid
522,522,train
523,523,train
524,524,train
525,525,train
526,526,valid
527,527,train
528,528,train
529,529,train
530,530,train
531,531,train
532,532,train
533,533,train
534,534,valid
535,535,train
536,536,valid
537,537,train
538,538,train
539,539,test
540,540,train
541,541,train
542,542,train
543,543,train
544,544,train
545,545,train
546,546,train
547,547,test
548,548,train
549,549,train
550,550,train
551,551,train
552,552,train
553,553,train
554,554,train
555,555,valid
556,556,train
557,557,train
558,558,train
559,559,train
560,560,train
561,561,train
562,562,train
563,563,train
564,564,train
565,565,train
566,566,test
567,567,train
568,568,train
569,569,test
570,570,train
571,571,train
572,572,test
573,573,test
574,574,test
575,575,train
576,576,train
577,577,train
578,578,valid
579,579,train
580,580,train
581,581,train
582,582,train
583,583,valid
584,584,train
585,585,test
586,586,train
587,587,train
588,588,train
589,589,train
590,590,train
591,591,train
592,592,train
593,593,train
594,594,train
595,595,train
596,596,train
597,597,train
598,598,train
599,599,test
600,600,train
601,601,train
602,602,train
603,603,train
604,604,train
605,605,train
606,606,train
607,607,train
608,608,train
609,609,train
610,610,train
611,611,train
612,612,train
613,613,train
614,614,train
615,615,train
616,616,train
617,617,train
618,618,train
619,619,train
620,620,train
621,621,train
622,622,train
623,623,train
624,624,train
625,625,train
626,626,train
627,627,train
628,628,train
629,629,train
630,630,train
631,631,train
632,632,train
633,633,train
634,634,train
635,635,train
636,636,train
637,637,train
638,638,train
639,639,train
640,640,train
641,641,train
642,642,train
643,643,train
644,644,train
645,645,train
646,646,valid
647,647,train
648,648,train
649,649,train
650,650,train
651,651,train
652,652,train
653,653,valid
654,654,train
655,655,train
656,656,train
657,657,test
658,658,train
659,659,train
660,660,train
661,661,train
662,662,train
663,663,train
664,664,train
665,665,train
666,666,test
667,667,train
668,668,valid
669,669,test
670,670,valid
671,671,train
672,672,train
673,673,train
674,674,test
675,675,train
676,676,train
677,677,test
678,678,train
679,679,train
680,680,train
681,681,train
682,682,valid
683,683,test
684,684,train
685,685,train
686,686,test
687,687,train
688,688,train
689,689,train
690,690,train
691,691,valid
692,692,train
693,693,train
694,694,train
695,695,train
696,696,valid
697,697,train
698,698,train
699,699,train
700,700,train
701,701,train
702,702,train
703,703,train
704,704,train
705,705,valid
706,706,train
707,707,test
708,708,train
709,709,train
710,710,test
711,711,train
712,712,valid
713,713,valid
714,714,train
715,715,train
716,716,train
717,717,train
718,718,train
719,719,train
720,720,train
721,721,train
722,722,train
723,723,train
724,724,train
725,725,train
726,726,train
727,727,train
728,728,train
729,729,test
730,730,train
731,731,train
732,732,train
733,733,train
734,734,valid
735,735,train
736,736,train
737,737,train
738,738,train
739,739,train
740,740,test
741,741,train
742,742,train
743,743,train
744,744,train
745,745,train
746,746,train
747,747,valid
748,748,test
749,749,train
750,750,train
751,751,train
752,752,train
753,753,train
754,754,valid
755,755,train
756,756,train
757,757,valid
758,758,train
759,759,train
760,760,train
761,761,train
762,762,train
763,763,train
764,764,train
765,765,train
766,766,train
767,767,test
768,768,valid
769,769,train
770,770,train
771,771,valid
772,772,valid
773,773,train
774,774,train
775,775,train
776,776,train
777,777,train
778,778,train
779,779,train
780,780,train
781,781,test
782,782,valid
783,783,train
784,784,train
785,785,train
786,786,train
787,787,train
788,788,train
789,789,train
790,790,train
791,791,train
792,792,train
793,793,train
794,794,test
795,795,valid
796,796,train
797,797,test
798,798,train
799,799,train
800,800,train
801,801,train
802,802,train
803,803,train
804,804,train
805,805,train
806,806,train
807,807,train
808,808,train
809,809,train
810,810,train
811,811,train
812,812,train
813,813,train
814,814,valid
815,815,valid
816,816,train
817,817,train
818,818,train
819,819,train
820,820,train
821,821,train
822,822,train
823,823,train
824,824,train
825,825,train
826,826,train
827,827,train
828,828,train
829,829,train
830,830,train
831,831,train
832,832,train
833,833,train
834,834,train
835,835,train
836,836,train
837,837,test
838,838,valid
839,839,train
840,840,train
841,841,train
842,842,train
843,843,train
844,844,train
845,845,train
846,846,train
847,847,train
848,848,test
849,849,train
850,850,valid
851,851,train
852,852,train
853,853,train
854,854,valid
855,855,test
856,856,train
857,857,train
858,858,train
859,859,valid
860,860,test
861,861,train
862,862,train
863,863,valid
864,864,train
865,865,train
866,866,train
867,867,valid
868,868,train
869,869,train
870,870,train
871,871,train
872,872,train
873,873,train
874,874,train
875,875,train
876,876,train
877,877,train
878,878,train
879,879,train
880,880,train
881,881,train
882,882,valid
883,883,test
884,884,train
885,885,train
886,886,test
887,887,train
888,888,train
889,889,train
890,890,train
891,891,train
892,892,train
893,893,train
894,894,train
895,895,train
896,896,train
897,897,train
898,898,train
899,899,test
900,900,train
901,901,train
902,902,train
903,903,train
904,904,train
905,905,train
906,906,test
907,907,train
908,908,train
909,909,train
910,910,train
911,911,train
912,912,train
913,913,test
914,914,valid
915,915,train
916,916,train
917,917,train
918,918,train
919,919,train
920,920,train
921,921,test
922,922,train
923,923,train
924,924,test
925,925,train
926,926,train
927,927,train
928,928,train
929,929,train
930,930,train
931,931,train
932,932,train
933,933,train
934,934,train
935,935,train
936,936,train
937,937,test
938,938,train
939,939,train
940,940,train
941,941,test
942,942,train
943,943,train
944,944,test
945,945,train
946,946,test
947,947,train
948,948,train
949,949,train
950,950,train
951,951,train
952,952,train
953,953,train
954,954,train
955,955,train
956,956,train
957,957,train
958,958,train
959,959,train
960,960,train
961,961,test
962,962,train
963,963,test
964,964,train
965,965,train
966,966,train
967,967,train
968,968,train
969,969,train
970,970,train
971,971,test
972,972,train
973,973,train
974,974,train
975,975,train
976,976,train
977,977,train
978,978,train
979,979,valid
980,980,train
981,981,train
982,982,test
983,983,train
984,984,train
985,985,train
986,986,train
987,987,train
988,988,train
989,989,train
990,990,train
991,991,train
992,992,train
993,993,train
994,994,train
995,995,train
996,996,train
997,997,train
998,998,train
999,999,train
1000,1000,train
1001,1001,train
1002,1002,train
1003,1003,valid
1004,1004,train
1005,1005,train
1006,1006,train
1007,1007,train
1008,1008,train
1009,1009,train
1010,1010,train
1011,1011,train
1012,1012,train
1013,1013,train
1014,1014,train
1015,1015,train
1016,1016,train
1017,1017,train
1018,1018,valid
1019,1019,train
1020,1020,train
1021,1021,valid
1022,1022,train
1023,1023,train
1024,1024,train
1025,1025,train
1026,1026,train
1027,1027,train
1028,1028,train
1029,1029,train
1030,1030,train
1031,1031,train
1032,1032,train
1033,1033,valid
1034,1034,train
1035,1035,test
1036,1036,train
1037,1037,train
1038,1038,test
1039,1039,train
1040,1040,test
1041,1041,train
1042,1042,valid
1043,1043,train
1044,1044,train
1045,1045,train
1046,1046,test
1047,1047,train
1048,1048,train
1049,1049,train
1050,1050,train
1051,1051,train
1052,1052,train
1053,1053,train
1054,1054,train
1055,1055,train
1056,1056,test
1057,1057,train
1058,1058,train
1059,1059,test
1060,1060,test
1061,1061,train
1062,1062,train
1063,1063,train
1064,1064,valid
1065,1065,valid
1066,1066,train
1067,1067,train
1068,1068,train
1069,1069,train
1070,1070,train
1071,1071,train
1072,1072,train
1073,1073,train
1074,1074,train
1075,1075,valid
1076,1076,valid
1077,1077,train
1078,1078,train
1079,1079,train
1080,1080,train
1081,1081,train
1082,1082,train
1083,1083,train
1084,1084,train
1085,1085,train
1086,1086,train
1087,1087,train
1088,1088,valid
1089,1089,test
1090,1090,valid
1091,1091,valid
1092,1092,train
1093,1093,train
1094,1094,train
1095,1095,train
1096,1096,train
1097,1097,train
1098,1098,train
1099,1099,train
1100,1100,train
1101,1101,valid
1102,1102,train
1103,1103,train
1104,1104,train
1105,1105,train
1106,1106,train
1107,1107,test
1108,1108,test
1109,1109,train
1110,1110,train
1111,1111,train
1112,1112,train
1113,1113,train
1114,1114,train
1115,1115,train
1116,1116,train
1117,1117,train
1118,1118,train
1119,1119,test
1120,1120,train
1121,1121,test
1122,1122,test
1123,1123,train
1124,1124,train
1125,1125,train
1126,1126,train
1127,1127,train
1128,1128,train
1129,1129,train
1130,1130,test
1131,1131,valid
1132,1132,valid
1133,1133,train
1134,1134,train
1135,1135,train
1136,1136,test
1137,1137,test
1138,1138,valid
1139,1139,train
1140,1140,train
1141,1141,train
1142,1142,train
1143,1143,train
1144,1144,train
1145,1145,test
1146,1146,train
1147,1147,train
1148,1148,train
1149,1149,train
1150,1150,valid
1151,1151,valid
1152,1152,train
1153,1153,train
1154,1154,train
1155,1155,train
1156,1156,train
1157,1157,train
1158,1158,train
1159,1159,train
1160,1160,train
1161,1161,valid
1162,1162,train
1163,1163,train
1164,1164,train
1165,1165,train
1166,1166,train
1167,1167,test
1168,1168,train
1169,1169,train
1170,1170,train
1171,1171,train
1172,1172,train
1173,1173,train
1174,1174,train
1175,1175,train
1176,1176,train
1177,1177,train
1178,1178,train
1179,1179,train
1180,1180,valid
1181,1181,train
1182,1182,train
1183,1183,train
1184,1184,train
1185,1185,train
1186,1186,train
1187,1187,train
1188,1188,train
1189,1189,train
1190,1190,train
1191,1191,train
1192,1192,train
1193,1193,valid
1194,1194,test
1195,1195,train
1196,1196,train
1197,1197,train
1198,1198,train
1199,1199,valid
1200,1200,train
1201,1201,train
1202,1202,train
1203,1203,train
1204,1204,train
1205,1205,train
1206,1206,train
1207,1207,train
1208,1208,train
1209,1209,train
1210,1210,train
1211,1211,valid
1212,1212,train
1213,1213,train
1214,1214,train
1215,1215,test
1216,1216,train
1217,1217,train
1218,1218,train
1219,1219,valid
1220,1220,train
1221,1221,train
1222,1222,train
1223,1223,train
1224,1224,train
1225,1225,train
1226,1226,valid
1227,1227,test
1228,1228,train
1229,1229,train
1230,1230,train
1231,1231,train
1232,1232,train
1233,1233,train
1234,1234,train
1235,1235,train
1236,1236,train
1237,1237,train
1238,1238,train
1239,1239,train
1240,1240,train
1241,1241,train
1242,1242,train
1243,1243,train
1244,1244,train
1245,1245,train
1246,1246,train
1247,1247,train
1248,1248,train
1249,1249,valid
1250,1250,train
1251,1251,train
1252,1252,train
1253,1253,train
1254,1254,train
1255,1255,train
1256,1256,train
1257,1257,train
1258,1258,train
1259,1259,train
1260,1260,train
1261,1261,train
1262,1262,train
1263,1263,train
1264,1264,train
1265,1265,valid
1266,1266,train
1267,1267,train
1268,1268,train
1269,1269,train
1270,1270,train
1271,1271,train
1272,1272,train
1273,1273,train
1274,1274,valid
1275,1275,valid
1276,1276,train
1277,1277,test
1278,1278,valid
1279,1279,train
1280,1280,train
1281,1281,train
1282,1282,train
1283,1283,train
1284,1284,train
1285,1285,train
1286,1286,train
1287,1287,train
1288,1288,train
1289,1289,train
1290,1290,test
1291,1291,train
1292,1292,valid
1293,1293,train
1294,1294,train
1295,1295,train
1296,1296,train
1297,1297,train
1298,1298,train
1299,1299,train
1300,1300,train
1301,1301,train
1302,1302,train
1303,1303,train
1304,1304,train
1305,1305,train
1306,1306,train
1307,1307,test
1308,1308,test
1309,1309,train
1310,1310,train
1311,1311,train
1312,1312,train
1313,1313,train
1314,1314,train
1315,1315,train
1316,1316,train
1317,1317,train
1318,1318,test
1319,1319,train
1320,1320,train
1321,1321,train
1322,1322,train
1323,1323,train
1324,1324,valid
1325,1325,train
1326,1326,train
1327,1327,train
1328,1328,train
1329,1329,train
1330,1330,train
1331,1331,train
1332,1332,train
1333,1333,train
1334,1334,train
1335,1335,test
1336,1336,train
1337,1337,valid
1338,1338,test
1339,1339,train
1340,1340,train
1341,1341,test
1342,1342,train
1343,1343,train
1344,1344,train
1345,1345,train
1346,1346,train
1347,1347,valid
1348,1348,train
1349,1349,train
1350,1350,train
1351,1351,test
1352,1352,train
1353,1353,train
1354,1354,train
1355,1355,train
1356,1356,valid
1357,1357,train
1358,1358,train
1359,1359,train
1360,1360,test
1361,1361,valid
1362,1362,train
1363,1363,train
1364,1364,train
1365,1365,train
1366,1366,valid
1367,1367,train
1368,1368,train
1369,1369,train
1370,1370,train
1371,1371,train
1372,1372,valid
1373,1373,test
1374,1374,train
1375,1375,train
1376,1376,train
1377,1377,test
1378,1378,train
1379,1379,train
1380,1380,train
1381,1381,test
1382,1382,train
1383,1383,train
1384,1384,train
1385,1385,valid
1386,1386,train
1387,1387,valid
1388,1388,valid
1389,1389,train
1390,1390,train
1391,1391,train
1392,1392,train
1393,1393,train
1394,1394,train
1395,1395,train
1396,1396,train
1397,1397,train
1398,1398,train
1399,1399,train
1400,1400,train
1401,1401,train
1402,1402,train
1403,1403,train
1404,1404,test
1405,1405,train
1406,1406,train
1407,1407,valid
1408,1408,train
1409,1409,valid
1410,1410,valid
1411,1411,train
1412,1412,train
1413,1413,train
1414,1414,train
1415,1415,train
1416,1416,valid
1417,1417,train
1418,1418,valid
1419,1419,train
1420,1420,test
1421,1421,train
1422,1422,valid
1423,1423,train
1424,1424,train
1425,1425,train
1426,1426,test
1427,1427,train
1428,1428,train
1429,1429,train
1430,1430,train
1431,1431,train
1432,1432,train
1433,1433,train
1434,1434,test
1435,1435,test
1436,1436,train
1437,1437,train
1438,1438,train
1439,1439,test
1440,1440,train
1441,1441,valid
1442,1442,train
1443,1443,train
1444,1444,train
1445,1445,train
1446,1446,train
1447,1447,valid
1448,1448,train
1449,1449,train
1450,1450,train
1451,1451,valid
1452,1452,train
1453,1453,train
1454,1454,train
1455,1455,train
1456,1456,train
1457,1457,test
1458,1458,train
1459,1459,valid
1460,1460,train
1461,1461,train
1462,1462,train
1463,1463,train
1464,1464,train
1465,1465,train
1466,1466,train
1467,1467,train
1468,1468,train
1469,1469,test
1470,1470,train
1471,1471,train
1472,1472,train
1473,1473,test
1474,1474,train
1475,1475,train
1476,1476,test
1477,1477,train
1478,1478,train
1479,1479,train
1480,1480,train
1481,1481,train
1482,1482,train
1483,1483,train
1484,1484,train
1485,1485,train
1486,1486,train
1487,1487,test
1488,1488,train
1489,1489,train
1490,1490,train
1491,1491,train
1492,1492,train
1493,1493,train
1494,1494,train
1495,1495,train
1496,1496,train
1497,1497,test
1498,1498,train
1499,1499,train
1500,1500,test
1501,1501,train
1502,1502,train
1503,1503,train
1504,1504,train
1505,1505,train
1506,1506,train
1507,1507,test
1508,1508,test
1509,1509,valid
1510,1510,train
1511,1511,train
1512,1512,train
1513,1513,train
1514,1514,train
1515,1515,train
1516,1516,train
1517,1517,train
1518,1518,train
1519,1519,test
1520,1520,train
1521,1521,train
1522,1522,train
1523,1523,train
1524,1524,train
1525,1525,test
1526,1526,train
1527,1527,train
1528,1528,valid
1529,1529,train
1530,1530,train
1531,1531,train
1532,1532,train
1533,1533,test
1534,1534,train
1535,1535,train
1536,1536,train
1537,1537,train
1538,1538,train
1539,1539,train
1540,1540,test
1541,1541,train
1542,1542,train
1543,1543,train
1544,1544,train
1545,1545,train
1546,1546,train
1547,1547,train
1548,1548,train
1549,1549,train
1550,1550,train
1551,1551,train
1552,1552,train
1553,1553,train
1554,1554,train
1555,1555,train
1556,1556,train
1557,1557,test
1558,1558,train
1559,1559,train
1560,1560,train
1561,1561,train
1562,1562,train
1563,1563,valid
1564,1564,train
1565,1565,valid
1566,1566,train
1567,1567,train
1568,1568,train
1569,1569,train
1570,1570,train
1571,1571,valid
1572,1572,valid
1573,1573,test
1574,1574,train
1575,1575,train
1576,1576,train
1577,1577,train
1578,1578,valid
1579,1579,train
1580,1580,train
1581,1581,train
1582,1582,train
1583,1583,train
1584,1584,train
1585,1585,train
1586,1586,train
1587,1587,train
1588,1588,train
1589,1589,train
1590,1590,train
1591,1591,train
1592,1592,train
1593,1593,train
1594,1594,train
1595,1595,train
1596,1596,train
1597,1597,train
1598,1598,train
1599,1599,train
1600,1600,train
1601,1601,train
1602,1602,train
1603,1603,train
1604,1604,train
1605,1605,train
1606,1606,train
1607,1607,train
1608,1608,valid
1609,1609,valid
1610,1610,train
1611,1611,train
1612,1612,train
1613,1613,train
1614,1614,train
1615,1615,train
1616,1616,test
1617,1617,train
1618,1618,train
1619,1619,train
1620,1620,train
1621,1621,test
1622,1622,valid
1623,1623,train
1624,1624,train
1625,1625,train
1626,1626,test
1627,1627,train
1628,1628,test
1629,1629,train
1630,1630,train
1631,1631,train
1632,1632,train
1633,1633,train
1634,1634,train
1635,1635,train
1636,1636,train
1637,1637,train
1638,1638,train
1639,1639,train
1640,1640,train
1641,1641,train
1642,1642,valid
1643,1643,train
1644,1644,train
1645,1645,train
1646,1646,train
1647,1647,train
1648,1648,train
1649,1649,train
1650,1650,train
1651,1651,train
1652,1652,train
1653,1653,train
1654,1654,train
1655,1655,train
1656,1656,train
1657,1657,test
1658,1658,train
1659,1659,train
1660,1660,train
1661,1661,train
1662,1662,train
1663,1663,train
1664,1664,train
1665,1665,train
1666,1666,train
1667,1667,train
1668,1668,train
1669,1669,train
1670,1670,train
1671,1671,train
1672,1672,test
1673,1673,valid
1674,1674,train
1675,1675,valid
1676,1676,train
1677,1677,valid
1678,1678,train
1679,1679,train
1680,1680,train
1681,1681,train
1682,1682,train
1683,1683,valid
1684,1684,train
1685,1685,train
1686,1686,train
1687,1687,train
1688,1688,valid
1689,1689,train
1690,1690,train
1691,1691,train
1692,1692,train
1693,1693,train
1694,1694,train
1695,1695,train
1696,1696,train
1697,1697,train
1698,1698,train
1699,1699,train
1700,1700,train
1701,1701,valid
1702,1702,train
1703,1703,train
1704,1704,train
1705,1705,train
1706,1706,valid
1707,1707,train
1708,1708,train
1709,1709,train
1710,1710,test
1711,1711,train
1712,1712,test
1713,1713,test
1714,1714,train
1715,1715,train
1716,1716,train
1717,1717,train
1718,1718,train
1719,1719,train
1720,1720,train
1721,1721,test
1722,1722,train
1723,1723,train
1724,1724,train
1725,1725,train
1726,1726,test
1727,1727,train
1728,1728,train
1729,1729,train
1730,1730,train
1731,1731,train
1732,1732,train
1733,1733,train
1734,1734,train
1735,1735,train
1736,1736,test
1737,1737,train
1738,1738,train
1739,1739,train
1740,1740,train
1741,1741,train
1742,1742,train
1743,1743,train
1744,1744,train
1745,1745,train
1746,1746,train
1747,1747,train
1748,1748,train
1749,1749,train
1750,1750,valid
1751,1751,train
1752,1752,train
1753,1753,train
1754,1754,train
1755,1755,train
1756,1756,train
1757,1757,train
1758,1758,train
1759,1759,train
1760,1760,test
1761,1761,train
1762,1762,train
1763,1763,train
1764,1764,train
1765,1765,train
1766,1766,train
1767,1767,train
1768,1768,train
1769,1769,train
1770,1770,test
1771,1771,train
1772,1772,train
1773,1773,train
1774,1774,train
1775,1775,train
1776,1776,valid
1777,1777,train
1778,1778,train
1779,1779,train
1780,1780,train
1781,1781,train
1782,1782,train
1783,1783,test
1784,1784,train
1785,1785,train
1786,1786,train
1787,1787,valid
1788,1788,train
1789,1789,train
1790,1790,train
1791,1791,test
1792,1792,train
1793,1793,train
1794,1794,train
1795,1795,train
1796,1796,train
1797,1797,train
1798,1798,valid
1799,1799,train
1800,1800,valid
1801,1801,train
1802,1802,test
1803,1803,train
1804,1804,test
1805,1805,train
1806,1806,train
1807,1807,train
1808,1808,train
1809,1809,train
1810,1810,train
1811,1811,train
1812,1812,train
1813,1813,train
1814,1814,train
1815,1815,train
1816,1816,train
1817,1817,test
1818,1818,train
1819,1819,train
1820,1820,train
1821,1821,train
1822,1822,test
1823,1823,train
1824,1824,train
1825,1825,train
1826,1826,valid
1827,1827,train
1828,1828,train
1829,1829,train
1830,1830,valid
1831,1831,train
1832,1832,train
1833,1833,train
1834,1834,train
1835,1835,train
1836,1836,valid
1837,1837,train
1838,1838,train
1839,1839,train
1840,1840,train
1841,1841,train
1842,1842,train
1843,1843,train
1844,1844,train
1845,1845,train
1846,1846,train
1847,1847,train
1848,1848,train
1849,1849,train
1850,1850,train
1851,1851,valid
1852,1852,train
1853,1853,train
1854,1854,train
1855,1855,train
1856,1856,valid
1857,1857,train
1858,1858,train
1859,1859,train
1860,1860,train
1861,1861,train
1862,1862,train
1863,1863,train
1864,1864,train
1865,1865,train
1866,1866,train
1867,1867,train
1868,1868,train
1869,1869,train
1870,1870,train
1871,1871,valid
1872,1872,valid
1873,1873,train
1874,1874,train
1875,1875,train
1876,1876,train
1877,1877,train
1878,1878,test
1879,1879,train
1880,1880,train
1881,1881,train
1882,1882,valid
1883,1883,test
1884,1884,train
1885,1885,train
1886,1886,train
1887,1887,train
1888,1888,train
1889,1889,train
1890,1890,train
1891,1891,train
1892,1892,train
1893,1893,train
1894,1894,test
1895,1895,train
1896,1896,test
1897,1897,train
1898,1898,train
1899,1899,train
1900,1900,test
1901,1901,train
1902,1902,test
1903,1903,train
1904,1904,train
1905,1905,test
1906,1906,train
1907,1907,train
1908,1908,train
1909,1909,test
1910,1910,train
1911,1911,train
1912,1912,train
1913,1913,train
1914,1914,valid
1915,1915,valid
1916,1916,train
1917,1917,test
1918,1918,train
1919,1919,train
1920,1920,train
1921,1921,train
1922,1922,train
1923,1923,train
1924,1924,train
1925,1925,train
1926,1926,train
1927,1927,train
1928,1928,train
1929,1929,train
1930,1930,train
1931,1931,train
1932,1932,train
1933,1933,train
1934,1934,train
1935,1935,train
1936,1936,train
1937,1937,test
1938,1938,train
1939,1939,train
1940,1940,train
1941,1941,train
1942,1942,train
1943,1943,train
1944,1944,train
1945,1945,test
1946,1946,test
1947,1947,train
1948,1948,train
1949,1949,train
1950,1950,train
1951,1951,train
1952,1952,train
1953,1953,train
1954,1954,train
1955,1955,train
1956,1956,valid
1957,1957,train
1958,1958,train
1959,1959,train
1960,1960,valid
1961,1961,train
1962,1962,train
1963,1963,valid
1964,1964,train
1965,1965,train
1966,1966,train
1967,1967,train
1968,1968,train
1969,1969,train
1970,1970,train
1971,1971,train
1972,1972,train
1973,1973,valid
1974,1974,train
